t,sat_id,zenith_deg,gamma0,mu_s,beta_s,psift_s,qber_s,eve_s,rnorm_s,secure_s,mu_opt,beta_opt,psift_opt,qber_opt,eve_opt,rnorm_opt,secure_opt
140,0,59.0334,0.0665404,0.5,3,0.00243539,0.445093,0.491733,2.07472e-05,0,0.95,0.692,0.451207,0.457997,0.484298,0.00197852,0
145,0,57.6205,0.0822179,0.5,3,0.00238101,0.432155,0.49018,3.10581e-05,0,0.95,0.678,0.451221,0.44815,0.48135,0.00305361,0
150,0,56.1263,0.10138,0.5,3,0.00231821,0.416394,0.488398,4.60758e-05,0,0.95,0.65,0.45792,0.436559,0.477969,0.00469066,0
155,0,54.5443,0.124741,0.5,3,0.0022468,0.397302,0.48637,6.76592e-05,0,0.95,0.608,0.471132,0.423062,0.474123,0.00716828,0
160,0,52.8676,0.153138,0.5,3,0.00216711,0.374359,0.484083,9.81893e-05,0,0.95,0.58,0.473512,0.406028,0.46979,0.0108896,0
165,0,51.0886,0.187533,0.5,3,0.00208021,0.347097,0.481533,0.000140554,0,0.95,0.524,0.490379,0.387173,0.46496,0.0164294,0
170,0,49.1995,0.229013,0.5,3,0.00198806,0.315216,0.478722,0.000197991,0,0.95,0.482,0.495644,0.363681,0.459642,0.0245836,0
175,0,47.1923,0.278773,0.5,3,0.00189366,0.278762,0.475665,0.000273695,0,0.95,0.426,0.506252,0.336999,0.453868,0.0364161,0
180,0,45.0587,0.33808,0.5,3,0.001801,0.238354,0.472394,0.000370119,0,0.95,0.356,0.52199,0.307281,0.447696,0.0532859,0
185,0,42.7903,0.408205,0.5,3,0.00171479,0.195407,0.468951,0.000487979,0,0.95,0.3,0.525689,0.271741,0.441213,0.0767791,0
190,0,40.3794,0.490314,0.5,3,0.0016399,0.152204,0.465399,0.000625154,0,0.95,0.3,0.494402,0.225175,0.434539,0.107827,0
195,0,37.8185,0.585305,0.5,3,0.00158064,0.111646,0.461815,0.000775983,0,0.95,0.3,0.465027,0.175597,0.427818,0.146281,0
200,0,35.1016,0.693595,0.5,3,0.00153996,0.0765866,0.458285,0.000931581,0,0.95,0.3,0.439504,0.126903,0.421217,0.190363,0
205,0,32.2241,0.814837,0.5,3,0.00151891,0.0489746,0.454904,0.00108162,0,0.95,0.3,0.419308,0.0838327,0.414909,0.236265,0
210,0,29.1838,0.947613,0.5,3,0.00151654,0.0292683,0.451762,0.00121713,0,0.95,2.82,0.00319656,0.000982072,0.409062,0.00308397,1
215,0,25.9815,1.08912,0.5,3,0.00153029,0.0165101,0.448939,0.00133303,0,0.95,2.19,0.0176536,0.000981478,0.40382,0.0169813,1
220,0,22.6219,1.23496,0.5,3,0.00155652,0.008955,0.446494,0.00142879,0,0.95,1.644,0.058164,0.000993579,0.399291,0.0557904,1
225,0,19.1137,1.37905,0.5,3,0.00159101,0.00480138,0.444461,0.00150699,0,0.95,1.196,0.127999,0.000971489,0.395534,0.122515,1
230,0,15.471,1.51386,0.5,3,0.0016292,0.00263871,0.44285,0.00157079,0,0.95,0.804,0.223531,0.000997889,0.39256,0.213482,1
235,0,11.7124,1.63102,0.5,3,0.00166624,0.00155084,0.441646,0.00162199,0,0.95,0.51,0.315091,0.000979103,0.39034,0.30054,1
240,0,7.86188,1.72216,0.5,3,0.00169728,0.00101853,0.440821,0.00166041,0,0.95,0.3,0.388145,0.000953499,0.388819,0.369937,1
245,0,3.94736,1.78011,0.5,3,0.00171796,0.00077721,0.440342,0.00168456,1,0.95,0.3,0.388278,0.000670051,0.387938,0.370971,1
250,0,0,1.8,0.5,3,0.00172523,0.00070793,0.440186,0.00169283,1,0.95,0.3,0.388332,0.000592669,0.387649,0.371268,1
255,0,3.94736,1.78011,0.5,3,0.00171796,0.00077721,0.440342,0.00168456,1,0.95,0.3,0.388278,0.000670051,0.387938,0.370971,1
260,0,7.86188,1.72216,0.5,3,0.00169728,0.00101853,0.440821,0.00166041,0,0.95,0.3,0.388145,0.000953499,0.388819,0.369937,1
265,0,11.7124,1.63102,0.5,3,0.00166624,0.00155084,0.441646,0.00162199,0,0.95,0.51,0.315091,0.000979103,0.39034,0.30054,1
270,0,15.471,1.51386,0.5,3,0.0016292,0.00263871,0.44285,0.00157079,0,0.95,0.804,0.223531,0.000997889,0.39256,0.213482,1
275,0,19.1137,1.37905,0.5,3,0.00159101,0.00480138,0.444461,0.00150699,0,0.95,1.196,0.127999,0.000971489,0.395534,0.122515,1
280,0,22.6219,1.23496,0.5,3,0.00155652,0.008955,0.446494,0.00142879,0,0.95,1.644,0.058164,0.000993579,0.399291,0.0557904,1
285,0,25.9815,1.08912,0.5,3,0.00153029,0.0165101,0.448939,0.00133303,0,0.95,2.19,0.0176536,0.000981478,0.40382,0.0169813,1
290,0,29.1838,0.947613,0.5,3,0.00151654,0.0292683,0.451762,0.00121713,0,0.95,2.82,0.00319656,0.000982072,0.409062,0.00308397,1
295,0,32.2241,0.814837,0.5,3,0.00151891,0.0489746,0.454904,0.00108162,0,0.95,0.3,0.419308,0.0838327,0.414909,0.236265,0
300,0,35.1016,0.693595,0.5,3,0.00153996,0.0765866,0.458285,0.000931581,0,0.95,0.3,0.439504,0.126903,0.421217,0.190363,0
305,0,37.8185,0.585305,0.5,3,0.00158064,0.111646,0.461815,0.000775983,0,0.95,0.3,0.465027,0.175597,0.427818,0.146281,0
310,0,40.3794,0.490314,0.5,3,0.0016399,0.152204,0.465399,0.000625154,0,0.95,0.3,0.494402,0.225175,0.434539,0.107827,0
315,0,42.7903,0.408205,0.5,3,0.00171479,0.195407,0.468951,0.000487979,0,0.95,0.3,0.525689,0.271741,0.441213,0.0767791,0
320,0,45.0587,0.33808,0.5,3,0.001801,0.238354,0.472394,0.000370119,0,0.95,0.356,0.52199,0.307281,0.447696,0.0532859,0
325,0,47.1923,0.278773,0.5,3,0.00189366,0.278762,0.475665,0.000273695,0,0.95,0.426,0.506252,0.336999,0.453868,0.0364161,0
330,0,49.1995,0.229013,0.5,3,0.00198806,0.315216,0.478722,0.000197991,0,0.95,0.482,0.495644,0.363681,0.459642,0.0245836,0
335,0,51.0886,0.187533,0.5,3,0.00208021,0.347097,0.481533,0.000140554,0,0.95,0.524,0.490379,0.387173,0.46496,0.0164294,0
340,0,52.8676,0.153138,0.5,3,0.00216711,0.374359,0.484083,9.81893e-05,0,0.95,0.58,0.473512,0.406028,0.46979,0.0108896,0
345,0,54.5443,0.124741,0.5,3,0.0022468,0.397302,0.48637,6.76592e-05,0,0.95,0.608,0.471132,0.423062,0.474123,0.00716828,0
350,0,56.1263,0.10138,0.5,3,0.00231821,0.416394,0.488398,4.60758e-05,0,0.95,0.65,0.45792,0.436559,0.477969,0.00469066,0
355,0,57.6205,0.0822179,0.5,3,0.00238101,0.432155,0.49018,3.10581e-05,0,0.95,0.678,0.451221,0.44815,0.48135,0.00305361,0
360,0,59.0334,0.0665404,0.5,3,0.00243539,0.445093,0.491733,2.07472e-05,0,0.95,0.692,0.451207,0.457997,0.484298,0.00197852,0
395,1,58.9562,0.067338,0.5,3,0.00243256,0.444435,0.491652,2.12266e-05,0,0.95,0.692,0.450778,0.457478,0.484143,0.00202751,0
400,1,57.6044,0.0824093,0.5,3,0.00238036,0.431997,0.490162,3.11953e-05,0,0.95,0.678,0.45112,0.448025,0.481316,0.00306819,0
405,1,56.1852,0.100572,0.5,3,0.00232078,0.417056,0.488471,4.53919e-05,0,0.95,0.65,0.458345,0.437086,0.478107,0.00461451,0
410,1,54.695,0.122374,0.5,3,0.00225379,0.399228,0.486569,6.53193e-05,0,0.95,0.608,0.472375,0.424594,0.4745,0.00689304,0
415,1,53.1308,0.148426,0.5,3,0.00217982,0.378142,0.48445,9.2824e-05,0,0.95,0.58,0.475933,0.409078,0.470485,0.0102187,0
420,1,51.4895,0.17939,0.5,3,0.00209988,0.353491,0.482117,0.000130046,0,0.95,0.538,0.485873,0.391511,0.466066,0.0150169,0
425,1,49.7693,0.215959,0.5,3,0.00201566,0.325117,0.479578,0.000179267,0,0.95,0.496,0.493434,0.37094,0.461262,0.0218466,0
430,1,47.969,0.258823,0.5,3,0.00192954,0.293119,0.476853,0.000242614,0,0.95,0.44,0.507115,0.348252,0.456112,0.0314094,0
435,1,46.0892,0.308616,0.5,3,0.00184454,0.257987,0.473973,0.000321599,0,0.95,0.384,0.518211,0.322442,0.450675,0.0445409,0
440,1,44.1328,0.365839,0.5,3,0.00176411,0.220702,0.47098,0.000416543,0,0.95,0.321,0.531101,0.29432,0.445033,0.0621536,0
445,1,42.1054,0.430761,0.5,3,0.00169167,0.18277,0.467928,0.000525994,0,0.95,0.3,0.516525,0.258698,0.439289,0.0850014,0
450,1,40.017,0.503291,0.5,3,0.00163024,0.146078,0.464879,0.000646388,0,0.95,0.3,0.48997,0.218087,0.433562,0.112971,0
455,1,37.8827,0.582835,0.5,3,0.00158187,0.112578,0.461902,0.000772213,0,0.95,0.3,0.465704,0.176812,0.427981,0.145266,0
460,1,35.7248,0.668152,0.5,3,0.00154739,0.0838504,0.459067,0.000896798,0,0.95,0.3,0.444806,0.137504,0.422678,0.180153,0
465,1,33.5747,0.757231,0.5,3,0.00152622,0.0607491,0.456443,0.00101357,0,0.95,0.3,0.427923,0.102758,0.417778,0.215128,0
470,1,31.4748,0.847229,0.5,3,0.00151663,0.0432911,0.454088,0.00111734,0,0.95,0.3,0.415156,0.0743871,0.413389,0.247499,0
475,1,29.481,0.934508,0.5,3,0.00151602,0.0308258,0.45205,0.00120499,0,0.95,2.876,0.00269545,0.000997893,0.409596,0.00260084,1
480,1,27.6637,1.01481,0.5,3,0.00152135,0.0223634,0.45036,0.00127545,0,0.95,2.498,0.00800717,0.000994337,0.406458,0.00771292,1
485,1,26.1068,1.08361,0.5,3,0.00152951,0.0168897,0.44904,0.00132898,0,0.95,2.204,0.0170523,0.000997189,0.404008,0.016402,1
490,1,24.9017,1.13652,0.5,3,0.00153767,0.0135639,0.448097,0.00136642,0,0.95,2.008,0.0270545,0.000974327,0.40226,0.0260023,1
495,1,24.1354,1.1699,0.5,3,0.00154357,0.0117946,0.447532,0.00138855,0,0.95,1.882,0.0357286,0.00097694,0.401213,0.0343165,1
500,1,23.872,1.18131,0.5,3,0.0015457,0.0112415,0.447344,0.00139588,0,0.95,1.84,0.0390779,0.000977879,0.400865,0.0375253,1
505,1,24.1354,1.1699,0.5,3,0.00154357,0.0117946,0.447532,0.00138855,0,0.95,1.882,0.0357286,0.00097694,0.401213,0.0343165,1
510,1,24.9017,1.13652,0.5,3,0.00153767,0.0135639,0.448097,0.00136642,0,0.95,2.008,0.0270545,0.000974327,0.40226,0.0260023,1
515,1,26.1068,1.08361,0.5,3,0.00152951,0.0168897,0.44904,0.00132898,0,0.95,2.204,0.0170523,0.000997189,0.404008,0.016402,1
520,1,27.6637,1.01481,0.5,3,0.00152135,0.0223634,0.45036,0.00127545,0,0.95,2.498,0.00800717,0.000994337,0.406458,0.00771292,1
525,1,29.481,0.934508,0.5,3,0.00151602,0.0308258,0.45205,0.00120499,0,0.95,2.876,0.00269545,0.000997893,0.409596,0.00260084,1
530,1,31.4748,0.847229,0.5,3,0.00151663,0.0432911,0.454088,0.00111734,0,0.95,0.3,0.415156,0.0743871,0.413389,0.247499,0
535,1,33.5747,0.757231,0.5,3,0.00152622,0.0607491,0.456443,0.00101357,0,0.95,0.3,0.427923,0.102758,0.417778,0.215128,0
540,1,35.7248,0.668152,0.5,3,0.00154739,0.0838504,0.459067,0.000896798,0,0.95,0.3,0.444806,0.137504,0.422678,0.180153,0
545,1,37.8827,0.582835,0.5,3,0.00158187,0.112578,0.461902,0.000772213,0,0.95,0.3,0.465704,0.176812,0.427981,0.145266,0
550,1,40.017,0.503291,0.5,3,0.00163024,0.146078,0.464879,0.000646388,0,0.95,0.3,0.48997,0.218087,0.433562,0.112971,0
555,1,42.1054,0.430761,0.5,3,0.00169167,0.18277,0.467928,0.000525994,0,0.95,0.3,0.516525,0.258698,0.439289,0.0850014,0
560,1,44.1328,0.365839,0.5,3,0.00176411,0.220702,0.47098,0.000416543,0,0.95,0.321,0.531101,0.29432,0.445033,0.0621536,0
565,1,46.0892,0.308616,0.5,3,0.00184454,0.257987,0.473973,0.000321599,0,0.95,0.384,0.518211,0.322442,0.450675,0.0445409,0
570,1,47.969,0.258823,0.5,3,0.00192954,0.293119,0.476853,0.000242614,0,0.95,0.44,0.507115,0.348252,0.456112,0.0314094,0
575,1,49.7693,0.215959,0.5,3,0.00201566,0.325117,0.479578,0.000179267,0,0.95,0.496,0.493434,0.37094,0.461262,0.0218466,0
580,1,51.4895,0.17939,0.5,3,0.00209988,0.353491,0.482117,0.000130046,0,0.95,0.538,0.485873,0.391511,0.466066,0.0150169,0
585,1,53.1308,0.148426,0.5,3,0.00217982,0.378142,0.48445,9.2824e-05,0,0.95,0.58,0.475933,0.409078,0.470485,0.0102187,0
590,1,54.695,0.122374,0.5,3,0.00225379,0.399228,0.486569,6.53193e-05,0,0.95,0.608,0.472375,0.424594,0.4745,0.00689304,0
595,1,56.1852,0.100572,0.5,3,0.00232078,0.417056,0.488471,4.53919e-05,0,0.95,0.65,0.458345,0.437086,0.478107,0.00461451,0
600,1,57.6044,0.0824093,0.5,3,0.00238036,0.431997,0.490162,3.11953e-05,0,0.95,0.678,0.45112,0.448025,0.481316,0.00306819,0
605,1,58.9562,0.067338,0.5,3,0.00243256,0.444435,0.491652,2.12266e-05,0,0.95,0.692,0.450778,0.457478,0.484143,0.00202751,0
660,2,59.1003,0.0658549,0.5,3,0.00243784,0.44566,0.491803,2.03393e-05,0,0.95,0.706,0.443226,0.458108,0.484431,0.00193691,0
665,2,57.967,0.0781592,0.5,3,0.00239482,0.435502,0.490573,2.8212e-05,0,0.95,0.678,0.45338,0.450798,0.482097,0.00275257,0
670,2,56.807,0.0923099,0.5,3,0.00234744,0.423845,0.489227,3.86496e-05,0,0.95,0.664,0.454277,0.441995,0.479542,0.00387139,0
675,2,55.6237,0.108451,0.5,3,0.00229601,0.410598,0.487768,5.22456e-05,0,0.95,0.636,0.462659,0.432477,0.476775,0.00538488,0
680,2,54.4215,0.126693,0.5,3,0.00224108,0.395715,0.486207,6.9613e-05,0,0.95,0.608,0.470111,0.421797,0.473814,0.00739918,0
685,2,53.2064,0.14709,0.5,3,0.00218346,0.379216,0.484555,9.13234e-05,0,0.95,0.58,0.476622,0.409942,0.470684,0.0100323,0
690,2,51.986,0.169624,0.5,3,0.0021242,0.36121,0.482833,0.000117822,0,0.95,0.552,0.48223,0.396948,0.467422,0.0134052,0
695,2,50.7697,0.194174,0.5,3,0.00206456,0.341913,0.481064,0.000149324,0,0.95,0.524,0.487034,0.38292,0.464074,0.0176279,0
700,2,49.569,0.220493,0.5,3,0.00200593,0.321663,0.479278,0.000185709,0,0.95,0.496,0.491202,0.36805,0.460694,0.0227791,0
705,2,48.3976,0.24819,0.5,3,0.00194971,0.300916,0.477506,0.000226425,0,0.95,0.454,0.503591,0.353768,0.457345,0.028884,0
710,2,47.2711,0.276709,0.5,3,0.00189725,0.28023,0.475786,0.000270441,0,0.95,0.426,0.507226,0.338286,0.454096,0.0358826,0
715,2,46.2075,0.305331,0.5,3,0.0018497,0.26023,0.474155,0.000316257,0,0.95,0.398,0.511102,0.32312,0.451017,0.0436094,0
720,2,45.2263,0.333183,0.5,3,0.00180792,0.241554,0.47265,0.000361991,0,0.95,0.363,0.519898,0.309533,0.44818,0.0517839,0
725,2,44.3481,0.359278,0.5,3,0.00177248,0.224799,0.471308,0.000405527,0,0.95,0.328,0.529711,0.297476,0.445651,0.0600037,0
730,2,43.5934,0.382563,0.5,3,0.00174367,0.210476,0.470162,0.000444703,0,0.95,0.307,0.532348,0.285959,0.443492,0.0677803,0
735,2,42.9822,0.402001,0.5,3,0.00172152,0.198985,0.469239,0.000477506,0,0.95,0.3,0.528287,0.275354,0.441756,0.0745659,0
740,2,42.5316,0.416653,0.5,3,0.00170589,0.190606,0.468563,0.00050223,0,0.95,0.3,0.522206,0.266838,0.440484,0.0798269,0
745,2,42.2554,0.425769,0.5,3,0.00169661,0.185517,0.468151,0.000517591,0,0.95,0.3,0.518516,0.261571,0.439709,0.0831587,0
750,2,42.1624,0.428863,0.5,3,0.00169354,0.183811,0.468013,0.000522801,0,0.95,0.3,0.517279,0.259789,0.439449,0.0842995,0
755,2,42.2554,0.425769,0.5,3,0.00169661,0.185517,0.468151,0.000517591,0,0.95,0.3,0.518516,0.261571,0.439709,0.0831587,0
760,2,42.5316,0.416653,0.5,3,0.00170589,0.190606,0.468563,0.00050223,0,0.95,0.3,0.522206,0.266838,0.440484,0.0798269,0
765,2,42.9822,0.402001,0.5,3,0.00172152,0.198985,0.469239,0.000477506,0,0.95,0.3,0.528287,0.275354,0.441756,0.0745659,0
770,2,43.5934,0.382563,0.5,3,0.00174367,0.210476,0.470162,0.000444703,0,0.95,0.307,0.532348,0.285959,0.443492,0.0677803,0
775,2,44.3481,0.359278,0.5,3,0.00177248,0.224799,0.471308,0.000405527,0,0.95,0.328,0.529711,0.297476,0.445651,0.0600037,0
780,2,45.2263,0.333183,0.5,3,0.00180792,0.241554,0.47265,0.000361991,0,0.95,0.363,0.519898,0.309533,0.44818,0.0517839,0
785,2,46.2075,0.305331,0.5,3,0.0018497,0.26023,0.474155,0.000316257,0,0.95,0.398,0.511102,0.32312,0.451017,0.0436094,0
790,2,47.2711,0.276709,0.5,3,0.00189725,0.28023,0.475786,0.000270441,0,0.95,0.426,0.507226,0.338286,0.454096,0.0358826,0
795,2,48.3976,0.24819,0.5,3,0.00194971,0.300916,0.477506,0.000226425,0,0.95,0.454,0.503591,0.353768,0.457345,0.028884,0
800,2,49.569,0.220493,0.5,3,0.00200593,0.321663,0.479278,0.000185709,0,0.95,0.496,0.491202,0.36805,0.460694,0.0227791,0
805,2,50.7697,0.194174,0.5,3,0.00206456,0.341913,0.481064,0.000149324,0,0.95,0.524,0.487034,0.38292,0.464074,0.0176279,0
810,2,51.986,0.169624,0.5,3,0.0021242,0.36121,0.482833,0.000117822,0,0.95,0.552,0.48223,0.396948,0.467422,0.0134052,0
815,2,53.2064,0.14709,0.5,3,0.00218346,0.379216,0.484555,9.13234e-05,0,0.95,0.58,0.476622,0.409942,0.470684,0.0100323,0
820,2,54.4215,0.126693,0.5,3,0.00224108,0.395715,0.486207,6.9613e-05,0,0.95,0.608,0.470111,0.421797,0.473814,0.00739918,0
825,2,55.6237,0.108451,0.5,3,0.00229601,0.410598,0.487768,5.22456e-05,0,0.95,0.636,0.462659,0.432477,0.476775,0.00538488,0
830,2,56.807,0.0923099,0.5,3,0.00234744,0.423845,0.489227,3.86496e-05,0,0.95,0.664,0.454277,0.441995,0.479542,0.00387139,0
835,2,57.967,0.0781592,0.5,3,0.00239482,0.435502,0.490573,2.8212e-05,0,0.95,0.678,0.45338,0.450798,0.482097,0.00275257,0
840,2,59.1003,0.0658549,0.5,3,0.00243784,0.44566,0.491803,2.03393e-05,0,0.95,0.706,0.443226,0.458108,0.484431,0.00193691,0
890,3,59.3464,0.0633735,0.5,3,0.00244672,0.44771,0.492058,1.88932e-05,0,0.95,0.706,0.444549,0.459733,0.484915,0.00179016,0
895,3,57.9666,0.0781634,0.5,3,0.00239481,0.435498,0.490573,2.82149e-05,0,0.95,0.678,0.453378,0.450796,0.482096,0.00275287,0
900,3,56.5105,0.09619,0.5,3,0.00233483,0.420655,0.488869,4.17581e-05,0,0.95,0.65,0.460661,0.43994,0.478863,0.00421224,0
905,3,54.9722,0.118101,0.5,3,0.00226654,0.402712,0.486932,6.11794e-05,0,0.95,0.622,0.466086,0.426767,0.475188,0.00641026,0
910,3,53.3459,0.144646,0.5,3,0.00219016,0.381184,0.484748,8.86025e-05,0,0.95,0.58,0.477889,0.411521,0.47105,0.00969552,0
915,3,51.6254,0.176684,0.5,3,0.00210654,0.355624,0.482314,0.000126616,0,0.95,0.538,0.48725,0.393248,0.466438,0.014561,0
920,3,49.8043,0.215171,0.5,3,0.00201736,0.325718,0.47963,0.000178156,0,0.95,0.496,0.493824,0.371442,0.461361,0.0216864,0
925,3,47.8766,0.261151,0.5,3,0.00192522,0.291426,0.476712,0.000246195,0,0.95,0.44,0.505995,0.346794,0.455845,0.0319761,0
930,3,45.8362,0.315709,0.5,3,0.00183363,0.253178,0.473585,0.000333186,0,0.95,0.384,0.514941,0.318095,0.449943,0.0465815,0
935,3,43.6781,0.379913,0.5,3,0.00174683,0.212076,0.47029,0.000440235,0,0.95,0.307,0.533504,0.287519,0.443733,0.0668748,0
940,3,41.3979,0.454712,0.5,3,0.00166931,0.169989,0.466882,0.000566152,0,0.95,0.3,0.50727,0.245037,0.437324,0.0940063,0
945,3,38.9934,0.540792,0.5,3,0.00160523,0.129432,0.463431,0.000706719,0,0.95,0.3,0.477921,0.198133,0.430847,0.128073,0
950,3,36.4649,0.638386,0.5,3,0.00155764,0.0930823,0.460018,0.00085469,0,0.95,0.3,0.451534,0.150576,0.424455,0.168056,0
955,3,33.8165,0.74704,0.5,3,0.00152799,0.0630746,0.456728,0.00100093,0,0.95,0.3,0.429625,0.106396,0.418309,0.211251,0
960,3,31.0581,0.865354,0.5,3,0.00151588,0.0403774,0.453646,0.00113656,0,0.95,0.3,0.413031,0.0694657,0.412566,0.253561,0
